id_recette,url,titre,categorie_principale,sous_categorie,temps_cuisson,temps_total,nombre_personnes,ingredients,instructions,est_laitier,symptomes_contre_indiques,teneur_en_polyphenols
525,https://www.choumicha.ma/recette/699-tagra-aux-anchois.html,Tagra aux anchois,Saveurs du maroc,Plats principaux,30m,1h,4,500 g d’anchois en filets | 5 c. à soupe de persil et de coriandre émincés | 3 gousses d’ail émincées | 3 c. à café de cumin | 3 c. à café de piment doux | ½ c. à café de harissa | 1 c. à café de sel | 8 cl d’huile d’olive | 2 c. à soupe de vinaigre | 4 c. à soupe d’eau | Branches de coriandre | Pour le décor : | 50 g d’olives vertes,"Préparation | Dans un bol, préparer une marinade en mélangeant les herbes, les épices, l’ail émincé, l’huile d’olive et le vinaigre. | Sur un filet d’anchois, étaler la marinade de manière uniforme puis le recouvrir d’un autre filet. | Répéter l’opération avec les autres filets en veillant à conserver un peu de marinade. | Mélanger le reste de la marinade avec l’eau. | Dans le fond du tagra*, disposer les branches de coriandre en quadrillage pour protéger les filets d’anchois lors de la cuisson et pour qu’ils n’attachent pas. | Y déposer les filets d’anchois farcis et les arroser avec le restant de la marinade. | Garnir avec les olives vertes et laisser cuire le tagra sur feu de charbon pendant 25 à 30 mn. | Tagra : tajine en terre cuite non émaillé et sans couvercle, ovale ou rond, il est très utilisé dans les régions du nord du Maroc.",False,1|2|3|5|6,1165.76
526,https://www.choumicha.ma/recette/689-sorbet-de-melon.html,Sorbet de melon,Saveurs du maroc,Plats principaux,0m,0m,1,500 g de chair de melon | Le jus d’un demi citron | 100 g de sucre semoule | 10 cl d’eau | 2 pincées de gingembre frais râpé,"Préparation | Préparer un sirop de moyenne consistance avec le sucre semoule, le jus de citron, le gingembre et l’eau. | Mixer la chair de melon avec le sirop. Laisser refroidir la préparation avant de la faire prendre à la sorbetière. | Bon à savoir : | Pour préparer un sorbet sans sorbetière, placer la préparation dans un grand bol, la couvrir d’un film alimentaire et la faire prendre au congélateur pendant 2 h. | Sortir la préparation du congélateur et la travailler au batteur pendant 5 mn pour casser les cristaux. La remettre au congélateur pendant 2 h et la ressortir du congélateur puis la retravailler au batteur pendant 10 mn. Recommencer la même opération 4 fois jusqu’à obtention d’un sorbet lisse.",False,2|5|6,137.03
527,https://www.choumicha.ma/recette/653-pageot-au-four-farci-aux-epinards-et-aux-champignons-sauce-aux-crevettes.html,"Pageot au four farci aux épinards et aux champignons, sauce aux crevettes",Saveurs du maroc,Poissons et crustacés,30m,1h,4,1 pageot prêt à cuisiner de 900 g | 8 champignons blancs coupés en tranches épaisses | 1 grosse botte d'épinards | 1 gousse d'ail émincée | 40 g de beurre | 2 c. à soupe de crème fraîche | 1 c. à soupe de persil émincé | Sel | Poivre | Pour la sauce aux crevettes : | 200 g de crevettes fraîches décortiquées et émincées | 1 c. à soupe d'oignon finement émincé | 1 gousse d'ail émincée | 2 c. à soupe d'huile | 20 g de beurre | 2 c. à soupe de vinaigre blanc | 1/4 de poivron rouge coupé en petits dés | 2 cornichons râpés | 10 cl de bouillon de crevettes (Cliquez sur le lien dans la préparation) | 10 cl de crème fraîche | Sel | Poivre | Pour le décor : | Tranches de citron,"Préparation | Effeuiller les épinards, les rincer et les éponger. | Dans une poêle sur feu moyen, faire revenir les champignons dans la moitié du beurre pendant 3 mn. Saler et poivrer, puis retirer les champignons de la poêle et les réserver. | Dans la même poêle, faire revenir à feu doux l'ail émincé et les épinards dans le beurre restant jusqu'à ce que les feuilles d'épinards tombent. | Rajouter la crème fraîche et continuer la cuisson des épinards jusqu'à absorption complète de la crème. Retirer du feu, ajouter le persil émincé et laisser refroidir. Saler et poivrer le poisson de l'intérieur, le farcir avec une première couche de champignons et une seconde d'épinards. | Cuire le poisson au four préchauffé à 170°C pendant 30 mn environ. | Dans une poêle sur feu doux, faire revenir l'oignon et l'ail émincés dans l'huile et le beurre pendant 1 à 2 mn puis ajouter le vinaigre. | Placer les dés de poivron et les cornichons dans la poêle, mélanger et mouiller avec | le bouillon de crevettes | . Amener à ébullition et laisser cuire pendant 1 mn. Ajouter la crème, les crevettes émincées, saler et poivrer et laisser mijoter 2 à 3 mn pour avoir une sauce de consistance moyenne. | Retirer du feu et réserver au chaud dans un bain-marie jusqu'au moment de servir. | Une fois cuit, retirer le poisson du four, le décorer de tranches de citron et le servir accompagné de sa sauce aux crevettes. | Bon à savoir : | il est recommandé de faire préparer le poisson par le poissonnier en lui demandant d'ouvrir le poisson par le dos et lui retirer les ouïes et l'arête centrale. Ainsi préparé, il prendra beaucoup plus de farce.",False,1|2|6,404.43
528,https://www.choumicha.ma/recette/675-millefeuilles-de-biscuits-sables-aux-fruits.html,Millefeuilles de biscuits sablés aux fruits,Saveurs du maroc,Desserts et pâtisseries,15m,30m,4,Pour les biscuits sablés : | 250 g de farine | 150 g de beurre | 125 g de sucre glace | 1 œuf | 1 pincée de sel | Pour la garniture : | 160 g de crème pâtissière (Cliquez sur lien dans la préparation) | 100 g de fromage blanc crémeux | 16 framboises | 4 abricots | Pour le décor : | 40 g d’amandes effilées | 1 c. à café de poudre de cacao,"Préparation | Dans un bol, déposer la farine, le sel et le beurre. Les travailler du bout des doigts jusqu’à obtention d’un mélange sablé. | Ajouter le sucre glace tamisé et l’œuf, bien mélanger le tout pour obtenir une pâte homogène. | Couvrir avec du film alimentaire et laisser reposer au frais pendant 30 mn. | Etaler la pâte sur un plan de travail fariné en une abaisse de 3 mm d’épaisseur. Couper la pâte avec un emporte-pièce pour obtenir des sablés. Les déposer sur une plaque tapissée de papier sulfurisé. | Faire cuire les sablés dans un four préchauffé à 170°C pendant 15 à 20 mn jusqu'à ce qu'ils deviennent dorés. | Dans un bol, travailler le fromage blanc avec | la crème pâtissière | pour obtenir une crème lisse. | Monter les millefeuilles en intercalant les biscuits sablés, la crème et les fruits. Servir les millefeuilles décorés d’amandes effilées et saupoudrés de poudre de cacao.",False,1|2|3|6,629.5
529,https://www.choumicha.ma/recette/661-mousse-de-fromage-frais-cremeux-a-lananas-roti-au-miel-et-safran.html,Fromage frais à l’ananas rôti au miel et safran,Saveurs du maroc,Plats principaux,20m,40m,4,200 g de fromage Ricotta | 1 c. à soupe de miel | 1 ananas entier | 150 g de miel | 10 pistils de safran | Pour le décor : | 50 g d’amandes effilées torréfiées,"Préparation | Fouetter le fromage Ricotta avec une c. à soupe de miel pour obtenir une préparation lisse, la réserver au frais. Peler l’ananas à vif, le couper en quatre et lui retirer le cœur non comestible. | Dans une poêle sur feu doux, faire chauffer le miel avec le safran pendant 5 mn. | Ajouter les quartiers d’ananas et les cuire pendant 15 mn en les retournant délicatement jusqu’à ce que le miel commence à caraméliser et que l’ananas commence à colorer. | Retirer les quartiers d’ananas du feu, les laisser refroidir et les trancher en fines lamelles. | Disposer l’ananas avec son jus dans des verrines, recouvrir avec le fromage et servir le dessert bien frais saupoudré d’amandes effilées.",True,2|6,66.61
530,https://www.choumicha.ma/recette/633-tajine-aux-gombos-et-aux-petits-coings.html,Tajine aux gombos et aux petits coings,Saveurs du maroc,Tajines,1h,1h,6,"1 kg d’agneau coupé dans l'épaule | 1 oignon émincé | 1 tomate pelée épépinée et coupée en morceaux | 1 bouquet de coriandre et de persil | 8 cl d’huile | 1 c. à café de gingembre | 8 pistils de safran | 1 c. à café de curcuma | 1 bâtonnet de cannelle | Sel | Eau | Pour les légumes : | ½  kg de gombos | ½  kg de petits coings | 1 tomate pelée, épépinée et coupée en quatre | 1 c. à soupe de persil et de coriandre émincés","Préparation | Dans une marmite sur feu doux, déposer les morceaux de viande, ajouter l’oignon émincé, l’huile et la tomate pelée, épépinée et concassée. Faire revenir le tout pendant quelques minutes. | Rajouter les épices, le sel, le bouquet d'herbes et mouiller à hauteur avec l'eau. Laisser mijoter la viande à feu doux et à couvert jusqu’à ce qu’elle devienne fondante. | Laver les gombos, les équeuter et les réserver. | Laver et couper en deux les petits coings, les épépiner et les inciser légèrement du coté bombé. | Lorsque la viande est cuite, la retirer délicatement de la marmite et la réserver au chaud. | Déposer les petits coings et les gombos dans la sauce, rajouter la tomate et les herbes émincées. | Continuer la cuisson à feu doux et à couvert, jusqu’à ce que les légumes deviennent tendres et la sauce sirupeuse. | Réchauffer les morceaux de viande et les disposer dans un plat. Les garnir de légumes et les napper de sauce. | Servir le tajine chaud. | Bon à savoir : | Les épices utilisées dans la préparation de cette recette peuvent être remplacées par 1 c. à soupe d' | épices Bio Dar CHOUMICHA | pour M’Qalli.",False,1|2|3|4|5|6,1486.05
531,https://www.choumicha.ma/recette/635-tajine-aux-oignons-pruneaux-et-raisins-secs.html,"Tajine aux oignons, pruneaux et raisins secs",Saveurs du maroc,Tajines,1h 30m,1h 30m,6,1 kg d’agneau coupé dans l'épaule | 750 g d’oignon coupé en rondelles | ½ bouquet de coriandre et de persil | 4 c. à soupe d’huile de table | 4 c. à soupe d’huile d’olive | ½ c. à café de poivre noir | ½ c. à café de curcuma | ½ c. à café de gingembre | Sel | 10 cl d’eau | Pour le décor : | 6 pruneaux | 1 c. à soupe de sucre semoule | Eau | 150 g de raisins secs | ½ c. à café de cannelle moulue,"Préparation | Dans un tajine sur feu de charbon, déposer la viande, les épices, le sel, l’huile et un peu d’eau. Faire revenir la viande pendant 30 mn jusqu'à ce qu'elle s'imprègne bien des épices. | Disposer les rondelles d'oignons sur la viande, puis ajouter le bouquet d'herbes. Couvrir le tajine et laisser mijoter jusqu'à cuisson de la viande et réduction complète de la sauce. | Tremper les pruneaux et les raisins secs dans un peu d'eau jusqu’à ce qu’ils gonflent et les égoutter. | 15 mn avant de retirer le tajine du feu, le garnir de pruneaux et de raisins secs. Les saupoudrer de sucre et de cannelle. Couvrir le tajine pour que les fruits secs et les oignons s'imprègnent de sucre et de cannelle. | Servir le tajine très chaud.",False,1|2|3|5|6,2734.57
532,https://www.choumicha.ma/recette/637-tajine-d-agneau-aux-carottes.html,Tajine d'agneau aux carottes,Saveurs du maroc,Tajines,1h,1h,6,1 kg d’agneau coupé dans l'épaule | 1 oignon émincé | 2 gousses d’ail émincées | 1 petit bouquet de coriandre | 8 cl d’huile | ½ c. à café de poivre noir | 1 c. à café de gingembre | 1 c. à café de curcuma | Sel | Eau | Pour les légumes : | 500 g de carottes | 100 g  d’olives rouges | 1 écorce de citron confit | Feuilles de coriandre émincées,"Préparation | Dans une marmite sur feu doux, déposer les morceaux de viande, ajouter l’huile, l’oignon et l’ail. Faire revenir pendant 10 mn environ. | Ajouter les épices, le sel, le bouquet de coriandre et mouiller à hauteur d'eau. | Couvrir et laisser mijoter la viande jusqu’à ce qu’elle devienne fondante. | Gratter la peau des carottes et les détailler en petits dés. | Une fois cuite, retirer délicatement la viande de la marmite et la réserver au chaud. | Placer les dés de carottes dans la marmite et les cuire dans la sauce. | Une dizaine de minutes avant d’ôter la marmite du feu, ajouter les olives rouges et l’écorce de | citron confit | coupée en lanières. Réchauffer la viande et la dresser dans un plat de service. La garnir de carottes et d'olives rouges et la napper de sauce. | Décorer le plat de lanières de citron confit et de coriandre émincée et le servir bien chaud. | Bon à savoir : | La viande d’agneau peut être remplacée par du poulet fermier. | Les épices utilisées dans la préparation de cette recette peuvent être remplacées par 1 c. à soupe d' | épices Bio Dar CHOUMICHA | pour Tajine. | Les légumes peuvent être rajoutés à la viande directement lorsqu'elle commence à devenir tendre. Ainsi, le temps de cuisson sera moins long.",False,1|2|3|5|6,1513.4
533,https://www.choumicha.ma/recette/639-tajine-d-agneau-aux-courgettes-et-au-poivron.html,Tajine d'agneau aux courgettes et au poivron,Saveurs du maroc,Tajines,1h,1h,6,1 kg d’agneau coupé dans l'épaule | 1 oignon émincé | 2 gousses d’ail émincées | 1 tomate pelée épépinée et coupée en morceaux | 1 bouquet de coriandre et de persil | 8 cl d’huile | 1 c. à café de gingembre | 1 c. à café de curcuma | Sel | Eau | Pour les légumes : | 1 kg de courgettes | 1 poivron rouge | 1 c. à soupe de coriandre émincée | 1 gousse d'ail émincée,"Préparation | Dans une marmite sur feu doux, déposer les morceaux de viande, l’oignon émincé, l’huile, l’ail émincé et la tomate. | Faire revenir le tout jusqu'à ce que l'oignon devienne translucide. | Ajouter les épices, le sel, le bouquet d'herbes et mouiller à hauteur avec l'eau. | Cuire la viande à feu doux et à couvert jusqu'à ce qu'elle devienne fondante. | Griller le poivron, le placer dans un sac en plastique et le laisser reposer 10 mn, sa peau s’enlèvera ainsi plus facilement. Le peler ensuite sans le laver puis le détailler en fines lanières dans le sens de la longueur. | Laver les courgettes, leur retirer les extrémités et les couper en deux dans le sens de la longueur. | Lorsque la viande est cuite, la retirer délicatement de la marmite et la réserver au chaud. Déposer les courgettes dans la marmite. Les cuire dans la sauce à couvert et à feu doux pendant 15 mn environ. | Rajouter les lanières de poivron rouge, la gousse d'ail et la coriandre émincées et continuer la cuisson 10 mn environ jusqu'à réduction de la sauce. | Réchauffer la viande et la dresser dans un plat de service avec les courgettes et le poivron rouge. Napper de sauce et servir le plat bien chaud. | Bon à savoir : | Les épices utilisées dans la préparation de cette recette peuvent être remplacées par 1 c. à soupe d' | épices Bio Dar CHOUMICHA | pour Tajine. | Les légumes peuvent être rajoutés à la viande directement lorsqu'elle commence à devenir tendre. Ainsi, le temps de cuisson sera moins long.",False,1|2|3|5|6,1493.2
534,https://www.choumicha.ma/recette/643-tajine-aux-oignons-pruneaux-et-raisins-secs-2.html,Tajine d'agneau aux oignons,Saveurs du maroc,Tajines,1h,1h,4,1 kg d'agneau coupé dans l'épaule | 1 oignon émincé | 8 cl d’huile | 1 c. à café de beurre rance (Smen) | 1 c. à café de poivre noir | 1 c. à café de gingembre | 8 pistils de safran | Sel | 4 bâtonnets de cannelle | 10 cl d’eau | 1 kg d’oignon coupé en rondelles | ¼ c. à café de cannelle moulue | 1 c. à soupe de sucre semoule | Pour le décor : | Des amandes frites,"Préparation | Dans une marmite sur feux moyen, déposer les morceaux de viande, ajouter l’oignon émincé et l’huile. Faire revenir pendant 10 mn. | Ajouter les épices, le sel, le beurre rance (Smen), les oignons en rondelles et l’eau. | Laisser mijoter à feu doux jusqu’à cuisson de la viande et des oignons et réduction de la sauce. | Une dizaine de minutes avant d’ôter la marmite du feu, rajouter le sucre semoule et la cannelle moulue. | Disposer la viande dans un plat de service chauffé, la garnir d’oignons et la napper de sauce. Décorer le plat d'amandes frites. | Bon à savoir : | La viande d’agneau peut être remplacée par du poulet fermier, dans ce cas, rajouter un petit bouquet de coriandre pour parfumer la sauce. | Ce plat est meilleur lorsqu'il est cuit dans un tajine en terre sur de la braise, diminuer dans ce cas la quantité d'eau de moitié. | Les épices utilisées dans la préparation de cette recette peuvent être remplacées par 1 c. à soupe d' | épices Bio Dar CHOUMICHA | pour M'Qalli.",False,1|2|3|5|6,4390.06
535,https://www.choumicha.ma/recette/647-tajine-de-veau-aux-olives-vertes-concassees-m-slalla.html,Jarrets de veau aux olives M'slalla,Saveurs du maroc,Tajines,1h 3m,1h 23m,4,800 g de jarret de veau | 3 gousses d'ail émincées | 1 c. à thé bombée de gingembre | 10 pistils de safran | 1 petit bouquet de persil et de coriandre | L'écorce d'un citron confit | 2 c. à soupe d'huile d'olive | 300 g d'olives M'slalla dénoyautées | Sel | Quelques feuilles de persil émincées | 1 filet d'huile d'olive,"Préparation | Dans une marmite à fond épais, déposer la viande, l'ail, les épices, l'huile d'olive, l'écorce d'un demi citron confit émincée et le bouquet d'herbes. | Mouiller à hauteur avec l'eau et couvrir la marmite. A ébullition, baisser le feu et laisser mitonner jusqu'à cuisson de la viande. | Retirer la viande et la réserver au chaud. | Placer les olives dénoyautées dans la sauce et rajouter le reste de l'écorce du citron confit coupée en lanières, un filet d'huile d'olive et les feuilles de persil émincées. | Couvrir et continuer la cuisson à feu doux pendant une vingtaine de minutes. Lorsque les olives sont cuites et la sauce réduite, disposer la viande dans un plat préchauffé, la garnir d'olives et la napper de sauce. | Servir le plat très chaud.",False,1|2|4|6,93.6
536,https://www.choumicha.ma/recette/631-tajine-aux-aubergines-frites.html,Tajine aux aubergines frites,Saveurs du maroc,Tajines,1h,1h 15m,6,1 kg d’agneau coupé dans l'épaule | 1 oignon émincé | 1 grosse tomate pelée épépinée et coupée en morceaux | 2 gousses d’ail émincées | 1 c. à café de poivre | 1  c. à café de gingembre | 1  de c. à café de curcuma | 4 cl d’huile | 1 bouquet de coriandre et de persil | Sel | Eau | Pour les légumes : | 4 aubergines de taille moyenne | 80 g de pois chiche trempé dans de l’eau depuis la veille | Huile pour friture,"Préparation | Dans une marmite sur feu doux, Déposer les morceaux de viande et rajouter l’oignon, l’ail, la tomate, les épices, le sel et l’huile. Les faire revenir pendant 10 mn environ. Mouiller à hauteur avec l’eau, couvrir la marmite et amener à ébullition. | Laver les aubergines et les détailler en rondelles d’1,5 cm d’épaisseur. | Saler les rondelles d'aubergines et les laisser dégorger pendant 10 mn, les rincer, les presser entre les paumes de la main et les éponger. | Gratter les pédoncules d’aubergines et leur tailler la crête verte. | Après ébullition, rajouter les pédoncules d’aubergines, le pois chiche, le bouquet d'herbes et laisser cuire le tout à couvert et à feu doux. | Frire les rondelles d’aubergines, jusqu'à ce qu'elles deviennent dorées. Les égoutter et les éponger avec du papier absorbant. | Lorsque la viande et le pois chiche sont cuits (fondants) et la sauce réduite, retirer le bouquet de coriandre et de persil. | Dans un plat de service, dresser la viande, la napper de sauce et la garnir d'aubergines frites, de pois chiche et de pédoncules d’aubergines. | Servir le tajine très chaud. | Bon à savoir : les épices utilisées pour la préparation de ce tajine peuvent être remplacées par | les épices Bio Dar CHOUMICHA | pour Tajine.",False,1|2|3|5|6,1260.19
537,https://www.choumicha.ma/recette/641-tajine-d-agneau-aux-haricots-verts.html,Tajine d'agneau aux haricots verts,Saveurs du maroc,Tajines,1h,1h,6,1 kg d’agneau coupé dans l'épaule | 1 oignon moyen émincé | 1 gousse d’ail émincée | ½ c. à café de poivre noir | 1 c. à café de gingembre | 1 c. à café de curcuma | 1 bouquet de coriandre | 8 cl d’huile | Sel | Eau | Pour les légumes : | 750 g de haricots verts | 1 tomate pelée épépinée et coupée en quatre | 2 c. à soupe de coriandre émincée | 1 gousse d'ail émincée,"Préparation | Dans une marmite sur feu doux, déposer les morceaux de viande, l’oignon émincé, l’ail émincé et l’huile. | Faire revenir le tout pendant 10 mn. | Ajouter les épices, le sel, le bouquet de coriandre et mouiller à hauteur avec l'eau. | Porter à ébullition et laisser mijoter la viande à couvert jusqu'à ce qu'elle devienne fondante. | Retirer la viande délicatement de la marmite et la réserver au chaud. | Déposer les haricots verts dans la marmite pour qu’ils cuisent dans la sauce, rajouter la tomate, la coriandre et la gousse d'ail émincées. | Lorsque les haricots sont cuits et la sauce réduite, réchauffer la viande et la dresser dans un plat de service, la garnir de haricots verts et de tomate et la napper de sauce. | Servir le tajine chaud. | Bon à savoir : | Les épices utilisées dans la préparation de cette recette peuvent être remplacées par 1 c. à soupe d | 'épices Bio Dar CHOUMICHA | pour Tajine. | Les légumes peuvent être rajoutés à la viande directement lorsqu'elle commence à devenir tendre. Ainsi, le temps de cuisson sera moins long.",False,1|2|3|5|6,1505.4
538,https://www.choumicha.ma/recette/621-salade-de-concombres-longs-au-thym.html,Salade de concombres longs au thym,Saveurs du maroc,Salades,0m,15m,4,250 g de concombres longs | 2 c. à soupe de vinaigre | 2 c. à soupe de sucre semoule | 1 c. à café de thym pilé | 3 c. à soupe d'eau de fleurs d'oranger | Sel,"Préparation | Laver les concombres longs, les gratter et les râper finement. Y rajouter le vinaigre, le sucre semoule, le thym, l'eau de fleurs d'oranger et le sel. Bien mélanger tous les ingrédients. | Servir la salade de concombres longs au thym bien fraîche. | Bon à savoir : | Il est préférable de goûter le concombre long avant de l’utiliser pour s’assurer qu’il n’est pas amer.",False,2|3|5|6,18.76
539,https://www.choumicha.ma/recette/623-salade-de-haricots-verts.html,Salade de haricots verts,Saveurs du maroc,Salades,10m,25m,2,250 g de haricots verts | 2 c. à soupe de jus de citron | 1 gousse d’ail émincée | ¼ c. à café de poivre noir | ¼ c. à café de sel | 2 c. à soupe d’huile d’olive | 1 c. à soupe de persil émincé,"Préparation | Laver les haricots, les équeuter et les couper en morceaux réguliers. Les faire blanchir dans de l’eau salée pendant 10 mn. | Une fois blanchis, égoutter les haricots et les plonger rapidement dans de l'eau glacée, puis les égoutter. | Dans un récipient, bien mélanger le jus de citron, l’ail émincé, le poivre noir, le sel, l’huile et le persil émincé. | Mélanger les haricots verts avec la sauce obtenue. Laisser les haricots s’imprégner de sauce avant de les servir.",False,1|2|3|6,91.11
540,https://www.choumicha.ma/recette/625-salade-de-poivrons-marines.html,Salade de poivrons marinés,Saveurs du maroc,Salades,20m,30m,4,2 poivrons rouges | 2 poivrons verts | 2 gousses d’ail émincées | 1/2 c. à café de cumin | 3 c. à soupe de vinaigre | 1 c. à soupe de jus de citron | 8 cl d’huile d’olive | Sel | Pour le décor : | Tranches de citron | 1 c. à soupe de persil émincé,"Préparation | Faire griller les poivrons, les placer dans un sachet en plastique et les laisser reposer 10 mn, leur peau s’enlèvera ainsi plus facilement. Les peler ensuite sans les laver puis les détailler en fines lanières dans le sens de la longueur. | Dans un récipient, mélanger l’ail émincé, le cumin, le vinaigre, le jus de citron, l’huile d’olive et le sel. Mélanger tous les ingrédients pour obtenir une vinaigrette. | Mariner les lanières de poivrons dans la sauce et les réserver au frais. | Présenter la salade de poivrons marinés décorée de tranches de citron et de persil émincé.",False,1|2|3|6,23.36
541,https://www.choumicha.ma/recette/627-salade-de-tomates-au-citron.html,Salade de tomates au citron,Saveurs du maroc,Salades,0m,20m,4,4 grosses tomates | Ecorce d’un demi citron confit | 1 c. à soupe de persil émincé | Sel | 4 c. à soupe d’huile d’olive | 1 gousse d’ail émincée | Pour le décor : | Des lanières de citron.,"Préparation | Peler les tomates, les épépiner et les concasser. | Découper l’écorce de citron confit en petits dés. | Dans un récipient, mélanger les tomates avec le persil émincé, le sel et l’huile, ajouter ensuite les dés d’écorce de citron confit et l’ail émincé. | Mélanger délicatement tous les ingrédients, servir la salade froide décorée avec de fines lanières de citron.",False,1|2|6,8.32
542,https://www.choumicha.ma/recette/629-salade-de-tomates-et-de-poivrons.html,Salade de tomates et de poivrons,Saveurs du maroc,Salades,10m,20m,4,4 tomates | 2 poivrons verts | 1 petit oignon | ¼ de c. à café de cumin | Sel | 4 c. à soupe huile | 3 c. à soupe de jus de citron ou de vinaigre,"Préparation | Peler les tomates, les laver, les épépiner puis les concasser. | Faire griller les poivrons les débarrasser de leur peau et de leurs graines, puis les détailler en petits morceaux. | Peler l’oignon et l’émincer finement. | Dans un récipient, déposer l’oignon émincé, les poivrons en dés, les tomates concassées, le cumin, le sel, l’huile et le jus de citron ou le vinaigre. Bien mélanger tous les ingrédients. | Servir la salade de tomates et de poivrons dans un plat de service. | Bon à savoir : | Une fois grillés, placer immédiatement les poivrons dans un sachet en plastique pendant 10 mn pour pouvoir leur enlever facilement la peau sans les laver. Rajouter au dernier moment, tout juste avant de servir, le sel, le jus de citron et le vinaigre pour que les tomates et les poivrons ne dégorgent pas.",False,1|2|3|6,9.7
543,https://www.choumicha.ma/recette/609-salade-daubergines-a-lail-et-au-persil.html,Salade d’aubergines à l’ail et au persil,Saveurs du maroc,Salades,30m,40m,4,4 aubergines | 1 bain de friture | 2 gousses d’ail | 1/2 c. à café de cumin | 1/2 c. à café de paprika | Sel | 4 c. à soupe de persil émincé | 4 c. à soupe de vinaigre,"Préparation | Détailler les aubergines en rondelles de 1 cm d'épaisseur, les saler et les laisser dégorger. Rincer les rondelles d'aubergines, les presser et les éponger. | Frire les rondelles d’aubergines dans de l'huile chaude, les égoutter et les écraser à la fourchette pour qu’elles forment une pâte lisse. | Presser la purée d’aubergines pour l’égoutter de son excédent d’huile et la disposer dans une poêle propre. Y rajouter l’ail émincé, le cumin, le paprika, le sel, le persil émincé, et le vinaigre. | Chauffer la poêle à feu moyen et laisser cuire la purée d’aubergines pendant 10 mn en remuant pour que les ingrédients s’amalgament bien et que la purée d’aubergines s’imprègne de la saveur de l’ail et du persil. | Servir la salade d’aubergine à l’ail et au persil tiède ou froide.",False,1|2|3|6,4.32
544,https://www.choumicha.ma/recette/611-salade-daubergines-a-la-tomate-et-au-poivron.html,Zaâlouk d’aubergines à la tomate et au poivron,Saveurs du maroc,Salades,40m,45m,4,3 aubergines | 3 tomates | 1 poivron | 8 cl d’huile | 3 gousses d’ail émincées | 1 c. à café de cumin | 1 c. à café de paprika | Sel | 1 petit bouquet de coriandre et de persil émincés,"Préparation | Ôter les deux extrémités des aubergines puis les découper en dés moyens. Les disposer dans le haut d’un couscoussier et les faire cuire à la vapeur. | Laver les tomates, les peler et les épépiner puis les concasser. | Faire griller le poivron, le nettoyer de sa peau et le détailler en fines lanières dans le sens de la longueur. | Verser l’huile dans une poêle et rajouter les morceaux d’aubergine. Les faire rissoler à feu doux en remuant jusqu’à ce que leur eau s’évapore. Y rajouter les tomates et l’ail émincé puis laisser le tout mijoter, le temps que l’eau des tomates s’évapore. | Ajouter ensuite les épices, le sel, la coriandre et le persil émincés, et les lanières de poivron. Faire cuire pendant 5 mn. | Servir la salade d’aubergines à la tomate et au poivron tiède ou froide. | Bon à savoir : | Cette salade peut se préparer avec des aubergines frites ou grillées sur feu de charbon, en suivant la même recette.",False,1|2|3|6,12.28
545,https://www.choumicha.ma/recette/613-salade-de-betteraves-a-lorange.html,Salade de betteraves à l’orange,Saveurs du maroc,Salades,15m,25m,4,250 g de betteraves | 2 c. à soupe de sucre semoule | 25 cl de jus d’orange | 1 c. à soupe d’eau de fleurs d’oranger,"Préparation | Laver et faire blanchir les betteraves à l'eau bouillante pendant 15 mn. Détacher leur peau puis les râper finement. | Dans un récipient, déposer les betteraves finement râpées et les saupoudrer de sucre semoule, couvrir le récipient et le réserver au réfrigérateur. | Sortir la salade de betteraves bien fraîche, l’arroser de jus d’orange et d’eau de fleurs d’oranger. | Servir la salade de betteraves à l’orange bien froide. | Bon à savoir : | Pour donner plus de goût à cette salade, la saupoudrer d’une pincée de cannelle pilée.",False,2|5|6,83.94
546,https://www.choumicha.ma/recette/617-salade-de-carottes-a-lorange.html,Salade de carottes à l’orange,Saveurs du maroc,Salades,0m,15m,4,250 g de carottes | 2 c. à soupe de sucre semoule | 25 cl de jus d’orange | 1 c. à soupe d’eau de fleurs d’oranger | ½ c. à café de cannelle pilée,"Préparation | Gratter les carottes, les laver et les râper finement. | Dans un récipient, déposer les carottes finement râpées, et les saupoudrer de sucre semoule, couvrir le récipient et le réserver au réfrigérateur et laisser les carottes dégorger. | Avant de servir, arroser les carottes de jus d’orange et d’eau de fleurs d’oranger. | Décorer avec une touche de cannelle pilée.",False,2|3|5|6,121.89
547,https://www.choumicha.ma/recette/619-salade-de-carottes-marinees.html,Salade de carottes marinées,Saveurs du maroc,Salades,10m,20m,4,½ kg de carottes | 2 gousses d’ail émincées | 1 c. à café de cumin | ½ c. à café de paprika | Sel | 4 c. à soupe de vinaigre ou de jus de citron | 2 c. à soupe d’huile d’olive | 1 c. à soupe de coriandre et de persil émincés | Pour le décor : | Quartiers de citron,"Préparation | Gratter les carottes, les laver, leur enlever le cœur puis les détailler en demi rondelles et les faire blanchir dans l’eau salée pendant 10 mn. | Égoutter les carottes, y rajouter l’ail, les épices, le sel, le vinaigre ou le jus de citron, l’huile, la coriandre et le persil émincés. | Bien mélanger tous les ingrédients puis laisser mariner la salade pendant une demi heure. | Servir la salade de carottes marinées décorée de quartiers de citron. | Bon à savoir : | Faire cuire les carottes à la vapeur au lieu de les blanchir, elles garderont ainsi leur saveur et leurs apports nutritifs.",False,1|2|3|6,111.59
